project_id,project_name,department,project_type,location,budget,expenditure,planned_duration_days,time_elapsed_days,completion_percentage,total_milestones,completed_milestones,delayed_milestones,pending_milestones,risk_score,delay_level
PRJ-1334,Infrastructure Project - Jaipur #334,Ministry of Health & Family Welfare,Infrastructure,Jaipur,475.96,63.71,987,179,12.35,32,3,5,24,6.64,MEDIUM
PRJ-1335,Energy & Power Project - Kolkata #335,Ministry of Power,Energy & Power,Kolkata,3241.89,3601.88,984,856,95.15,25,23,0,2,0.71,LOW
PRJ-1336,Transportation Project - Lucknow #336,Ministry of Railways,Transportation,Lucknow,390.32,91.93,396,111,22.8,31,7,1,23,4.98,LOW
PRJ-1337,Transportation Project - Pune #337,Ministry of Water Resources,Transportation,Pune,1085.99,590.75,722,749,64.36,24,15,4,5,4.78,HIGH
PRJ-1338,Transportation Project - Kolkata #338,Ministry of Road Transport & Highways,Transportation,Kolkata,527.65,148.08,1636,610,28.7,37,10,2,25,4.96,LOW
PRJ-1339,Transportation Project - Delhi NCR #339,Ministry of Water Resources,Transportation,Delhi NCR,3332.82,2427.11,1106,786,67.74,11,7,0,4,3.22,LOW
PRJ-1340,Infrastructure Project - Delhi NCR #340,Ministry of Railways,Infrastructure,Delhi NCR,225.23,138.21,1779,2100,70.91,30,21,3,6,3.92,HIGH
PRJ-1341,Infrastructure Project - Lucknow #341,Ministry of Electronics & IT,Infrastructure,Lucknow,2055.55,135.66,333,41,7.93,33,2,6,25,7.19,MEDIUM
PRJ-1342,Water & Sanitation Project - Kolkata #342,Ministry of Water Resources,Water & Sanitation,Kolkata,437.62,78.32,1124,175,14.18,32,4,4,24,6.68,MEDIUM
PRJ-1343,Urban Infrastructure Project - Patna #343,Ministry of Road Transport & Highways,Urban Infrastructure,Patna,1499.06,409.09,904,303,30.54,22,6,1,15,4.17,LOW
PRJ-1344,Healthcare Facility Project - Lucknow #344,Ministry of Health & Family Welfare,Healthcare Facility,Lucknow,867.79,504.81,784,508,46.86,35,16,3,16,4.42,MEDIUM
PRJ-1345,Urban Infrastructure Project - Hyderabad #345,Ministry of Railways,Urban Infrastructure,Hyderabad,2252.86,798.89,1256,469,27.34,39,10,7,22,8.41,MEDIUM
PRJ-1346,Digital Governance Project - Kolkata #346,Ministry of Water Resources,Digital Governance,Kolkata,1684.1,1216.37,1780,1127,57.49,37,21,1,15,3.07,LOW
PRJ-1347,Energy & Power Project - Lucknow #347,Ministry of Road Transport & Highways,Energy & Power,Lucknow,774.38,185.96,1774,725,19.94,35,6,9,20,9.14,MEDIUM
PRJ-1348,Transportation Project - Mumbai #348,Ministry of Railways,Transportation,Mumbai,875.02,206.57,673,264,19.54,8,1,2,5,6.72,MEDIUM
PRJ-1349,Water & Sanitation Project - Ahmedabad #349,Ministry of Health & Family Welfare,Water & Sanitation,Ahmedabad,1248.27,269.17,535,157,19.67,27,5,6,16,6.47,MEDIUM
PRJ-1350,Energy & Power Project - Lucknow #350,Ministry of Electronics & IT,Energy & Power,Lucknow,1976.99,1918.74,1333,1523,79.66,36,28,2,6,2.17,HIGH
PRJ-1351,Infrastructure Project - Delhi NCR #351,Ministry of Road Transport & Highways,Infrastructure,Delhi NCR,821.86,95.89,628,76,11.23,26,2,4,20,6.44,MEDIUM
PRJ-1352,Energy & Power Project - Guwahati #352,Ministry of Railways,Energy & Power,Guwahati,629.33,110.65,842,139,20.12,14,2,1,11,6.09,MEDIUM
PRJ-1353,Energy & Power Project - Mumbai #353,Ministry of Water Resources,Energy & Power,Mumbai,1313.83,635.71,1536,821,56.89,24,13,0,11,4.11,LOW
PRJ-1354,Urban Infrastructure Project - Patna #354,Ministry of Electronics & IT,Urban Infrastructure,Patna,3362.71,1409.7,1509,677,36.34,40,14,5,21,7.04,MEDIUM
PRJ-1355,Energy & Power Project - Hyderabad #355,Ministry of Water Resources,Energy & Power,Hyderabad,2332.71,1186.91,539,278,43.6,23,10,1,12,4.68,LOW
PRJ-1356,Healthcare Facility Project - Ahmedabad #356,Ministry of Electronics & IT,Healthcare Facility,Ahmedabad,2979.14,1457.47,1758,2042,59.94,25,14,6,5,6.34,HIGH
PRJ-1357,Digital Governance Project - Lucknow #357,Ministry of Railways,Digital Governance,Lucknow,373.34,94.08,1196,304,21.49,20,4,1,15,4.96,LOW
PRJ-1358,Infrastructure Project - Guwahati #358,Ministry of Electronics & IT,Infrastructure,Guwahati,2348.39,1869.16,1673,1799,77.78,21,16,1,4,2.9,HIGH
PRJ-1359,Energy & Power Project - Mumbai #359,Ministry of Power,Energy & Power,Mumbai,2524.24,1429.02,278,145,48.54,15,7,1,7,3.96,LOW
PRJ-1360,Energy & Power Project - Jaipur #360,Ministry of Urban Development,Energy & Power,Jaipur,1319.96,894.25,1161,1123,62.21,19,11,3,5,3.24,HIGH
PRJ-1361,Infrastructure Project - Chennai #361,Ministry of Water Resources,Infrastructure,Chennai,80.07,65.67,714,818,97.98,15,14,0,1,0.42,LOW
PRJ-1362,Healthcare Facility Project - Mumbai #362,Ministry of Road Transport & Highways,Healthcare Facility,Mumbai,1189.45,1370.55,1436,1554,100.0,32,32,0,0,0.33,LOW
PRJ-1363,Transportation Project - Delhi NCR #363,Ministry of Urban Development,Transportation,Delhi NCR,363.39,300.38,600,703,82.28,40,32,2,6,3.15,MEDIUM
PRJ-1364,Digital Governance Project - Chennai #364,Ministry of Power,Digital Governance,Chennai,1047.93,166.82,376,58,14.66,36,5,1,30,5.39,LOW
PRJ-1365,Infrastructure Project - Chennai #365,Ministry of Urban Development,Infrastructure,Chennai,2885.4,2016.62,1460,1109,77.67,6,4,0,2,2.39,LOW
PRJ-1366,Urban Infrastructure Project - Mumbai #366,Ministry of Road Transport & Highways,Urban Infrastructure,Mumbai,1086.15,627.46,994,614,46.31,21,9,2,10,4.57,MEDIUM
PRJ-1367,Energy & Power Project - Ahmedabad #367,Ministry of Railways,Energy & Power,Ahmedabad,1299.21,178.08,1092,162,13.44,21,2,1,18,5.27,LOW
PRJ-1368,Transportation Project - Guwahati #368,Ministry of Road Transport & Highways,Transportation,Guwahati,2339.46,2003.96,355,296,71.14,31,22,2,7,3.42,MEDIUM
PRJ-1369,Infrastructure Project - Ahmedabad #369,Ministry of Health & Family Welfare,Infrastructure,Ahmedabad,2866.23,2865.96,1037,1205,87.44,35,30,1,4,1.5,MEDIUM
PRJ-1370,Infrastructure Project - Ahmedabad #370,Ministry of Power,Infrastructure,Ahmedabad,3160.69,310.19,1642,226,9.04,38,3,7,28,8.7,MEDIUM
PRJ-1371,Transportation Project - Mumbai #371,Ministry of Health & Family Welfare,Transportation,Mumbai,3322.9,1063.57,1099,318,24.77,18,4,2,12,4.81,LOW
PRJ-1372,Infrastructure Project - Patna #372,Ministry of Urban Development,Infrastructure,Patna,1529.52,429.07,1464,384,25.56,25,6,3,16,6.75,MEDIUM
PRJ-1373,Infrastructure Project - Ahmedabad #373,Ministry of Road Transport & Highways,Infrastructure,Ahmedabad,1951.71,1017.06,1310,600,55.55,34,18,1,15,2.65,LOW
PRJ-1374,Healthcare Facility Project - Lucknow #374,Ministry of Electronics & IT,Healthcare Facility,Lucknow,1833.74,390.3,1039,232,24.33,11,2,1,8,5.31,LOW
PRJ-1375,Water & Sanitation Project - Chennai #375,Ministry of Road Transport & Highways,Water & Sanitation,Chennai,3037.49,2831.15,884,942,100.0,36,36,0,0,0.95,LOW
PRJ-1376,Energy & Power Project - Ahmedabad #376,Ministry of Railways,Energy & Power,Ahmedabad,512.05,286.23,1426,1210,55.85,30,16,6,8,5.27,HIGH
PRJ-1377,Infrastructure Project - Guwahati #377,Ministry of Railways,Infrastructure,Guwahati,1668.51,1351.69,730,793,100.0,24,24,0,0,1.69,LOW
PRJ-1378,Digital Governance Project - Patna #378,Ministry of Water Resources,Digital Governance,Patna,352.78,100.76,646,160,22.19,33,7,4,22,6.13,MEDIUM
PRJ-1379,Urban Infrastructure Project - Lucknow #379,Ministry of Electronics & IT,Urban Infrastructure,Lucknow,2262.99,2163.1,564,330,76.06,31,23,0,8,2.72,LOW
PRJ-1380,Energy & Power Project - Delhi NCR #380,Ministry of Water Resources,Energy & Power,Delhi NCR,1808.29,230.33,505,86,11.03,30,3,2,25,6.95,MEDIUM
PRJ-1381,Infrastructure Project - Bengaluru #381,Ministry of Health & Family Welfare,Infrastructure,Bengaluru,682.74,404.13,591,603,64.01,34,21,4,9,4.12,HIGH
PRJ-1382,Energy & Power Project - Kolkata #382,Ministry of Railways,Energy & Power,Kolkata,2884.04,1366.19,1214,651,37.55,6,2,0,4,4.1,MEDIUM
PRJ-1383,Transportation Project - Pune #383,Ministry of Urban Development,Transportation,Pune,2058.21,382.31,896,428,15.24,21,3,8,10,8.82,HIGH
PRJ-1384,Infrastructure Project - Ahmedabad #384,Ministry of Power,Infrastructure,Ahmedabad,183.28,114.42,1351,1294,68.82,19,13,2,4,3.71,HIGH
PRJ-1385,Digital Governance Project - Ahmedabad #385,Ministry of Power,Digital Governance,Ahmedabad,1801.35,1357.05,1778,2069,66.02,35,23,6,6,5.39,HIGH
PRJ-1386,Water & Sanitation Project - Delhi NCR #386,Ministry of Health & Family Welfare,Water & Sanitation,Delhi NCR,790.96,659.0,1425,1404,87.45,22,19,0,3,1.38,MEDIUM
PRJ-1387,Urban Infrastructure Project - Chennai #387,Ministry of Power,Urban Infrastructure,Chennai,771.55,738.93,798,674,79.01,30,23,1,6,1.46,LOW
PRJ-1388,Water & Sanitation Project - Kolkata #388,Ministry of Electronics & IT,Water & Sanitation,Kolkata,1969.49,1869.51,1396,1074,100.0,11,11,0,0,0.67,LOW
PRJ-1389,Digital Governance Project - Kolkata #389,Ministry of Power,Digital Governance,Kolkata,3016.61,3436.04,714,586,89.26,24,21,0,3,1.57,LOW
PRJ-1390,Infrastructure Project - Lucknow #390,Ministry of Railways,Infrastructure,Lucknow,1420.3,986.27,834,707,59.83,36,21,6,9,4.93,MEDIUM
PRJ-1391,Urban Infrastructure Project - Ahmedabad #391,Ministry of Urban Development,Urban Infrastructure,Ahmedabad,2581.2,1540.1,1374,1207,54.94,17,9,3,5,4.88,HIGH
PRJ-1392,Healthcare Facility Project - Patna #392,Ministry of Electronics & IT,Healthcare Facility,Patna,2749.29,1255.11,1555,768,48.05,15,7,1,7,4.75,LOW
PRJ-1393,Energy & Power Project - Mumbai #393,Ministry of Railways,Energy & Power,Mumbai,1653.03,397.71,1697,652,19.98,16,3,4,9,7.4,MEDIUM
PRJ-1394,Infrastructure Project - Hyderabad #394,Ministry of Electronics & IT,Infrastructure,Hyderabad,1249.94,1262.73,1704,1803,100.0,26,26,0,0,1.17,LOW
PRJ-1395,Water & Sanitation Project - Mumbai #395,Ministry of Urban Development,Water & Sanitation,Mumbai,1652.17,1784.86,1479,1097,84.92,9,7,0,2,1.14,LOW
PRJ-1396,Water & Sanitation Project - Patna #396,Ministry of Road Transport & Highways,Water & Sanitation,Patna,1342.03,672.64,791,438,40.57,14,5,1,8,3.77,MEDIUM
PRJ-1397,Healthcare Facility Project - Pune #397,Ministry of Urban Development,Healthcare Facility,Pune,509.85,53.82,1645,490,12.56,26,3,6,17,7.13,MEDIUM
PRJ-1398,Infrastructure Project - Delhi NCR #398,Ministry of Electronics & IT,Infrastructure,Delhi NCR,1587.67,1403.98,608,569,100.0,15,15,0,0,1.53,LOW
PRJ-1399,Transportation Project - Lucknow #399,Ministry of Road Transport & Highways,Transportation,Lucknow,1523.65,871.63,1059,575,44.6,29,12,1,16,4.24,LOW
PRJ-1400,Energy & Power Project - Delhi NCR #400,Ministry of Electronics & IT,Energy & Power,Delhi NCR,3123.1,2796.08,1730,1758,100.0,5,5,0,0,0.5,LOW
PRJ-1401,Energy & Power Project - Chennai #401,Ministry of Electronics & IT,Energy & Power,Chennai,459.97,129.19,965,630,29.47,9,2,3,4,5.32,HIGH
PRJ-1402,Urban Infrastructure Project - Guwahati #402,Ministry of Power,Urban Infrastructure,Guwahati,1825.81,748.84,1253,590,32.97,13,4,1,8,5.55,MEDIUM
PRJ-1403,Water & Sanitation Project - Hyderabad #403,Ministry of Power,Water & Sanitation,Hyderabad,585.44,54.68,1006,121,10.24,13,1,0,12,4.53,LOW
PRJ-1404,Transportation Project - Mumbai #404,Ministry of Health & Family Welfare,Transportation,Mumbai,1289.4,1065.46,1512,1468,83.67,21,17,1,3,2.46,MEDIUM
PRJ-1405,Infrastructure Project - Patna #405,Ministry of Health & Family Welfare,Infrastructure,Patna,387.32,36.75,220,33,11.06,33,3,3,27,6.74,MEDIUM
PRJ-1406,Digital Governance Project - Bengaluru #406,Ministry of Urban Development,Digital Governance,Bengaluru,727.18,551.25,1584,1256,79.75,11,8,0,3,1.55,LOW
PRJ-1407,Digital Governance Project - Bengaluru #407,Ministry of Health & Family Welfare,Digital Governance,Bengaluru,1471.7,630.4,394,261,38.63,23,8,4,11,4.88,HIGH
PRJ-1408,Healthcare Facility Project - Hyderabad #408,Ministry of Railways,Healthcare Facility,Hyderabad,2725.08,2172.61,1251,1464,81.44,31,25,1,5,1.41,MEDIUM
PRJ-1409,Transportation Project - Guwahati #409,Ministry of Urban Development,Transportation,Guwahati,3266.6,827.64,857,306,31.42,10,3,1,6,5.5,LOW
PRJ-1410,Urban Infrastructure Project - Bengaluru #410,Ministry of Electronics & IT,Urban Infrastructure,Bengaluru,3323.57,2504.03,1776,1177,64.85,11,7,0,4,3.05,LOW
PRJ-1411,Energy & Power Project - Chennai #411,Ministry of Urban Development,Energy & Power,Chennai,1630.33,1956.4,384,381,100.0,23,23,0,0,1.35,LOW
PRJ-1412,Digital Governance Project - Mumbai #412,Ministry of Urban Development,Digital Governance,Mumbai,341.54,156.35,1732,1869,56.88,13,7,3,3,3.7,HIGH
PRJ-1413,Urban Infrastructure Project - Lucknow #413,Ministry of Power,Urban Infrastructure,Lucknow,946.4,107.53,1681,339,9.41,16,1,1,14,5.73,MEDIUM
PRJ-1414,Energy & Power Project - Ahmedabad #414,Ministry of Urban Development,Energy & Power,Ahmedabad,2417.76,2718.59,1159,1135,100.0,15,15,0,0,1.39,LOW
PRJ-1415,Water & Sanitation Project - Bengaluru #415,Ministry of Road Transport & Highways,Water & Sanitation,Bengaluru,371.96,237.39,1389,876,58.85,33,19,1,13,3.22,LOW
PRJ-1416,Healthcare Facility Project - Delhi NCR #416,Ministry of Power,Healthcare Facility,Delhi NCR,3020.39,1732.57,1669,1954,66.29,36,23,4,9,4.11,HIGH
PRJ-1417,Infrastructure Project - Chennai #417,Ministry of Road Transport & Highways,Infrastructure,Chennai,2295.86,2614.9,205,179,100.0,19,19,0,0,1.34,LOW
PRJ-1418,Healthcare Facility Project - Jaipur #418,Ministry of Power,Healthcare Facility,Jaipur,2411.96,490.69,1446,296,17.99,20,3,2,15,6.23,MEDIUM
PRJ-1419,Urban Infrastructure Project - Bengaluru #419,Ministry of Electronics & IT,Urban Infrastructure,Bengaluru,2938.23,3251.03,1323,1430,100.0,5,5,0,0,0.31,LOW
PRJ-1420,Urban Infrastructure Project - Pune #420,Ministry of Water Resources,Urban Infrastructure,Pune,3044.26,2344.03,333,308,80.18,26,20,1,5,1.49,MEDIUM
PRJ-1421,Healthcare Facility Project - Patna #421,Ministry of Railways,Healthcare Facility,Patna,1331.45,329.19,661,123,24.19,33,7,0,26,4.79,LOW
PRJ-1422,Infrastructure Project - Pune #422,Ministry of Power,Infrastructure,Pune,2610.88,705.35,216,45,26.85,40,10,1,29,5.71,MEDIUM
PRJ-1423,Healthcare Facility Project - Lucknow #423,Ministry of Water Resources,Healthcare Facility,Lucknow,2235.01,1425.55,1221,877,56.58,34,19,5,10,4.9,MEDIUM
PRJ-1424,Water & Sanitation Project - Hyderabad #424,Ministry of Road Transport & Highways,Water & Sanitation,Hyderabad,2956.67,2567.81,859,615,78.25,35,27,0,8,1.81,LOW
PRJ-1425,Infrastructure Project - Mumbai #425,Ministry of Urban Development,Infrastructure,Mumbai,2660.03,265.5,634,64,10.21,23,2,2,19,6.04,MEDIUM
PRJ-1426,Infrastructure Project - Bengaluru #426,Ministry of Road Transport & Highways,Infrastructure,Bengaluru,1728.55,1736.51,1648,1510,100.0,21,21,0,0,0.38,LOW
PRJ-1427,Urban Infrastructure Project - Hyderabad #427,Ministry of Water Resources,Urban Infrastructure,Hyderabad,1605.09,293.01,1780,551,18.84,31,5,3,23,6.52,MEDIUM
PRJ-1428,Healthcare Facility Project - Mumbai #428,Ministry of Electronics & IT,Healthcare Facility,Mumbai,2704.79,1822.38,1102,664,61.55,37,22,0,15,2.92,LOW
PRJ-1429,Digital Governance Project - Delhi NCR #429,Ministry of Health & Family Welfare,Digital Governance,Delhi NCR,1940.76,2021.24,1066,1090,100.0,37,37,0,0,1.82,LOW
PRJ-1430,Healthcare Facility Project - Bengaluru #430,Ministry of Electronics & IT,Healthcare Facility,Bengaluru,2559.43,252.21,442,94,8.73,25,2,5,18,7.33,MEDIUM
PRJ-1431,Digital Governance Project - Hyderabad #431,Ministry of Health & Family Welfare,Digital Governance,Hyderabad,964.85,548.85,882,1029,55.42,13,7,2,4,4.23,HIGH
PRJ-1432,Healthcare Facility Project - Chennai #432,Ministry of Electronics & IT,Healthcare Facility,Chennai,2952.33,1161.0,1301,1361,34.02,40,13,21,6,10.0,HIGH
PRJ-1433,Digital Governance Project - Chennai #433,Ministry of Health & Family Welfare,Digital Governance,Chennai,2406.27,533.71,1557,382,19.2,16,3,2,11,6.23,MEDIUM
PRJ-1434,Digital Governance Project - Mumbai #434,Ministry of Power,Digital Governance,Mumbai,2665.1,1870.28,1331,836,64.66,31,20,1,10,3.95,LOW
PRJ-1435,Energy & Power Project - Ahmedabad #435,Ministry of Health & Family Welfare,Energy & Power,Ahmedabad,2830.98,745.0,1250,271,26.57,8,2,0,6,4.07,LOW
PRJ-1436,Water & Sanitation Project - Bengaluru #436,Ministry of Water Resources,Water & Sanitation,Bengaluru,3442.53,1369.66,1579,593,32.62,23,7,1,15,4.85,LOW
PRJ-1437,Water & Sanitation Project - Pune #437,Ministry of Power,Water & Sanitation,Pune,367.66,441.19,1563,1427,100.0,40,40,0,0,1.02,LOW
PRJ-1438,Water & Sanitation Project - Guwahati #438,Ministry of Water Resources,Water & Sanitation,Guwahati,1013.86,76.75,1540,233,7.64,31,2,7,22,9.37,MEDIUM
PRJ-1439,Healthcare Facility Project - Delhi NCR #439,Ministry of Power,Healthcare Facility,Delhi NCR,55.25,9.34,694,224,13.69,33,4,10,19,10.0,MEDIUM
PRJ-1440,Digital Governance Project - Patna #440,Ministry of Electronics & IT,Digital Governance,Patna,1293.42,835.31,1385,971,58.62,17,9,1,7,2.82,MEDIUM
PRJ-1441,Infrastructure Project - Bengaluru #441,Ministry of Electronics & IT,Infrastructure,Bengaluru,3369.04,2094.3,1685,1120,62.88,32,20,1,11,2.78,LOW
PRJ-1442,Healthcare Facility Project - Chennai #442,Ministry of Railways,Healthcare Facility,Chennai,29.7,19.31,1135,999,74.1,14,10,1,3,2.89,MEDIUM
PRJ-1443,Digital Governance Project - Lucknow #443,Ministry of Water Resources,Digital Governance,Lucknow,2952.56,683.19,796,509,21.3,27,5,9,13,8.95,HIGH
PRJ-1444,Transportation Project - Bengaluru #444,Ministry of Health & Family Welfare,Transportation,Bengaluru,1826.92,998.81,1790,1173,54.24,39,21,3,15,4.19,MEDIUM
PRJ-1445,Digital Governance Project - Kolkata #445,Ministry of Railways,Digital Governance,Kolkata,1165.42,243.75,781,265,17.78,38,6,8,24,8.43,MEDIUM
PRJ-1446,Digital Governance Project - Delhi NCR #446,Ministry of Water Resources,Digital Governance,Delhi NCR,410.38,308.54,888,524,60.04,20,12,1,7,3.76,LOW
PRJ-1447,Urban Infrastructure Project - Mumbai #447,Ministry of Power,Urban Infrastructure,Mumbai,1356.71,929.64,1286,1152,84.35,38,32,1,5,1.93,LOW
PRJ-1448,Healthcare Facility Project - Pune #448,Ministry of Water Resources,Healthcare Facility,Pune,1708.95,941.97,787,856,61.5,37,22,6,9,4.52,HIGH
PRJ-1449,Healthcare Facility Project - Jaipur #449,Ministry of Water Resources,Healthcare Facility,Jaipur,35.58,9.48,314,104,23.9,18,4,3,11,5.85,MEDIUM
PRJ-1450,Transportation Project - Jaipur #450,Ministry of Road Transport & Highways,Transportation,Jaipur,2902.33,1816.87,1698,1617,55.73,9,5,2,2,3.32,HIGH
PRJ-1451,Digital Governance Project - Kolkata #451,Ministry of Urban Development,Digital Governance,Kolkata,142.22,22.39,330,52,13.15,40,5,1,34,6.39,MEDIUM
PRJ-1452,Urban Infrastructure Project - Ahmedabad #452,Ministry of Power,Urban Infrastructure,Ahmedabad,1584.43,802.5,1008,580,62.65,12,7,0,5,3.15,LOW
PRJ-1453,Infrastructure Project - Guwahati #453,Ministry of Health & Family Welfare,Infrastructure,Guwahati,2053.77,1213.44,1615,1668,60.36,37,22,6,9,5.96,HIGH
PRJ-1454,Healthcare Facility Project - Mumbai #454,Ministry of Power,Healthcare Facility,Mumbai,992.5,609.52,1076,559,50.71,6,3,0,3,3.53,LOW
PRJ-1455,Digital Governance Project - Ahmedabad #455,Ministry of Railways,Digital Governance,Ahmedabad,2790.73,948.29,1297,550,30.42,24,7,4,13,6.91,MEDIUM
PRJ-1456,Water & Sanitation Project - Guwahati #456,Ministry of Water Resources,Water & Sanitation,Guwahati,2271.31,1129.24,202,143,46.14,12,5,1,6,4.24,MEDIUM
PRJ-1457,Healthcare Facility Project - Jaipur #457,Ministry of Urban Development,Healthcare Facility,Jaipur,3314.96,1057.15,804,266,27.24,27,7,2,18,6.25,MEDIUM
PRJ-1458,Healthcare Facility Project - Bengaluru #458,Ministry of Water Resources,Healthcare Facility,Bengaluru,571.73,243.74,632,492,46.02,12,5,2,5,5.1,HIGH
PRJ-1459,Infrastructure Project - Jaipur #459,Ministry of Water Resources,Infrastructure,Jaipur,1619.82,235.69,1305,235,12.81,21,2,1,18,6.21,MEDIUM
PRJ-1460,Energy & Power Project - Kolkata #460,Ministry of Urban Development,Energy & Power,Kolkata,457.47,84.86,1522,544,19.68,9,1,2,6,5.45,MEDIUM
PRJ-1461,Energy & Power Project - Lucknow #461,Ministry of Urban Development,Energy & Power,Lucknow,2311.38,2415.86,1600,1188,96.53,28,27,0,1,2.09,LOW
PRJ-1462,Infrastructure Project - Kolkata #462,Ministry of Railways,Infrastructure,Kolkata,869.15,738.54,633,559,75.84,22,16,1,5,1.88,MEDIUM
PRJ-1463,Energy & Power Project - Pune #463,Ministry of Electronics & IT,Energy & Power,Pune,1625.34,1089.86,914,870,64.26,11,7,1,3,3.4,HIGH
PRJ-1464,Energy & Power Project - Bengaluru #464,Ministry of Water Resources,Energy & Power,Bengaluru,3120.63,1360.92,582,226,35.08,9,3,1,5,5.43,LOW
PRJ-1465,Healthcare Facility Project - Patna #465,Ministry of Water Resources,Healthcare Facility,Patna,118.87,85.26,1371,1010,60.55,18,10,2,6,3.88,MEDIUM
PRJ-1466,Healthcare Facility Project - Pune #466,Ministry of Health & Family Welfare,Healthcare Facility,Pune,2292.14,833.77,484,243,39.9,23,9,1,13,4.41,MEDIUM
PRJ-1467,Urban Infrastructure Project - Kolkata #467,Ministry of Road Transport & Highways,Urban Infrastructure,Kolkata,1762.56,821.82,1537,557,36.37,15,5,1,9,3.86,LOW
PRJ-1468,Transportation Project - Lucknow #468,Ministry of Railways,Transportation,Lucknow,3321.0,2899.56,1530,1620,100.0,35,35,0,0,0.08,LOW
PRJ-1469,Urban Infrastructure Project - Hyderabad #469,Ministry of Water Resources,Urban Infrastructure,Hyderabad,229.39,66.61,936,334,25.6,38,9,8,21,7.64,MEDIUM
PRJ-1470,Urban Infrastructure Project - Delhi NCR #470,Ministry of Urban Development,Urban Infrastructure,Delhi NCR,149.27,55.38,1508,688,32.21,38,12,6,20,6.34,MEDIUM
PRJ-1471,Energy & Power Project - Lucknow #471,Ministry of Electronics & IT,Energy & Power,Lucknow,1909.78,757.22,536,275,40.08,9,3,1,5,4.15,MEDIUM
PRJ-1472,Healthcare Facility Project - Ahmedabad #472,Ministry of Railways,Healthcare Facility,Ahmedabad,1241.61,225.43,886,563,17.44,5,0,2,3,5.21,HIGH
PRJ-1473,Transportation Project - Mumbai #473,Ministry of Railways,Transportation,Mumbai,1805.75,252.81,755,251,15.67,28,4,7,17,8.65,MEDIUM
PRJ-1474,Transportation Project - Ahmedabad #474,Ministry of Electronics & IT,Transportation,Ahmedabad,2840.99,863.25,1655,371,26.71,35,9,0,26,3.99,LOW
PRJ-1475,Urban Infrastructure Project - Delhi NCR #475,Ministry of Water Resources,Urban Infrastructure,Delhi NCR,860.41,697.72,441,322,92.09,37,34,0,3,1.54,LOW
PRJ-1476,Transportation Project - Chennai #476,Ministry of Road Transport & Highways,Transportation,Chennai,3229.34,2797.31,1238,1428,78.77,6,4,0,2,2.52,HIGH
PRJ-1477,Energy & Power Project - Mumbai #477,Ministry of Water Resources,Energy & Power,Mumbai,765.91,919.09,1422,1695,99.41,15,14,0,1,0.85,LOW
PRJ-1478,Water & Sanitation Project - Lucknow #478,Ministry of Railways,Water & Sanitation,Lucknow,2873.38,2207.11,552,433,72.78,15,10,1,4,2.45,LOW
PRJ-1479,Healthcare Facility Project - Lucknow #479,Ministry of Urban Development,Healthcare Facility,Lucknow,250.26,145.38,954,499,68.0,17,11,0,6,3.42,LOW
PRJ-1480,Urban Infrastructure Project - Bengaluru #480,Ministry of Electronics & IT,Urban Infrastructure,Bengaluru,2123.23,1653.61,543,338,70.33,7,4,0,3,2.55,LOW
PRJ-1481,Infrastructure Project - Mumbai #481,Ministry of Water Resources,Infrastructure,Mumbai,1693.02,1481.34,446,487,81.8,5,4,0,1,2.46,MEDIUM
PRJ-1482,Urban Infrastructure Project - Jaipur #482,Ministry of Electronics & IT,Urban Infrastructure,Jaipur,1478.19,793.28,268,232,52.9,35,18,8,9,6.32,HIGH
PRJ-1483,Water & Sanitation Project - Guwahati #483,Ministry of Health & Family Welfare,Water & Sanitation,Guwahati,3178.43,1058.71,1606,1178,32.89,21,6,7,8,6.62,HIGH
PRJ-1484,Infrastructure Project - Chennai #484,Ministry of Water Resources,Infrastructure,Chennai,2098.04,928.41,1293,710,49.47,5,2,0,3,2.76,LOW
PRJ-1485,Urban Infrastructure Project - Patna #485,Ministry of Road Transport & Highways,Urban Infrastructure,Patna,726.91,225.34,826,454,36.33,32,11,6,15,6.09,MEDIUM
PRJ-1486,Healthcare Facility Project - Ahmedabad #486,Ministry of Water Resources,Healthcare Facility,Ahmedabad,1980.7,449.69,1433,577,19.91,18,3,4,11,7.17,MEDIUM
PRJ-1487,Transportation Project - Kolkata #487,Ministry of Urban Development,Transportation,Kolkata,1961.24,487.24,1170,443,26.06,27,7,5,15,6.49,MEDIUM
PRJ-1488,Water & Sanitation Project - Patna #488,Ministry of Railways,Water & Sanitation,Patna,425.61,167.54,650,384,34.24,15,5,2,8,5.1,MEDIUM
PRJ-1489,Energy & Power Project - Jaipur #489,Ministry of Water Resources,Energy & Power,Jaipur,2152.95,1895.39,1581,1387,100.0,5,5,0,0,1.65,LOW
PRJ-1490,Healthcare Facility Project - Ahmedabad #490,Ministry of Urban Development,Healthcare Facility,Ahmedabad,317.61,97.84,718,246,36.67,7,2,0,5,5.03,LOW
PRJ-1491,Healthcare Facility Project - Patna #491,Ministry of Urban Development,Healthcare Facility,Patna,1828.31,1284.87,1637,1898,84.8,16,13,0,3,1.64,MEDIUM
PRJ-1492,Water & Sanitation Project - Patna #492,Ministry of Railways,Water & Sanitation,Patna,3258.35,1344.82,1241,514,50.53,37,18,0,19,2.94,LOW
PRJ-1493,Digital Governance Project - Delhi NCR #493,Ministry of Railways,Digital Governance,Delhi NCR,1265.49,96.63,1521,152,8.69,22,1,3,18,6.47,MEDIUM
